temperature_logs.experiment_id,temperature_logs.elapsed_time,lid_temp,heat_block_zone_1_temp,heat_block_zone_2_temp
56,1270032,109.98,89.32,89.32
56,1271032,109.99,94.48,94.56
56,1272033,109.99,94.65,94.64
56,1273034,109.99,94.82,94.88
56,1274032,110.0,94.85,94.84
56,1275032,110.0,94.87,94.9
56,1276032,110.0,94.9,94.91
56,1277032,110.0,94.92,94.93
56,1278032,110.0,94.93,94.94
56,1279032,110.0,94.94,94.95
56,1280032,110.0,94.95,94.96
56,1281032,110.0,94.96,94.97
56,1282032,110.0,94.97,94.98
56,1283034,110.0,94.98,94.99
56,1284034,110.2,94.99,94.99
56,1285034,110.0,94.98,94.99
56,1286032,110.0,94.99,95.0
56,1287032,110.0,92.8,93.08
56,1288032,110.0,87.58,87.73
56,1289032,110.0,82.31,82.42
56,1290032,109.99,77.0,77.09
56,1291032,109.99,71.59,71.74
56,1292032,109.99,66.23,66.32
56,1293033,109.99,61.64,61.68
56,1294033,109.99,60.25,60.24
56,1295032,110.0,59.95,59.95
56,1296032,110.01,59.92,59.93
56,1297032,110.01,59.9,59.92
56,1298033,110.01,59.88,59.9
56,1299032,110.01,59.88,59.89
56,1300033,110.0,59.87,59.89
56,1301032,110.0,59.87,59.88
56,1302032,109.93,59.87,59.88
56,1303036,110.0,59.86,59.87
56,1304032,110.0,59.87,59.87
56,1305032,110.0,59.86,59.87
56,1306035,110.01,59.86,59.87
56,1307032,110.01,59.86,59.87
56,1308032,109.96,59.86,59.88
56,1309032,110.01,59.86,59.87
56,1310032,110.04,59.87,59.87
56,1311032,110.01,59.86,59.87
56,1312032,110.01,59.87,59.88
56,1313032,110.0,59.87,59.88
56,1314032,109.99,59.87,59.88
56,1315033,109.99,59.87,59.88
56,1316032,110.0,59.88,59.88
56,1317032,110.0,59.88,59.89
56,1318032,110.0,59.89,59.89
56,1319032,110.21,59.88,59.89
56,1320032,110.0,59.88,59.89
56,1321032,110.0,59.89,59.9
56,1322032,110.0,59.89,59.9
56,1323032,110.0,59.89,59.91
56,1324032,110.0,59.89,59.9
56,1325032,110.0,59.9,59.91
56,1326032,110.0,59.9,59.91
56,1327032,110.0,59.9,59.91
56,1328033,110.0,59.9,59.91
56,1329032,110.0,59.9,59.91
56,1330032,110.0,59.92,59.91
56,1331032,110.0,59.91,59.92
56,1332032,110.0,59.91,59.92
56,1333032,110.0,59.91,59.92
56,1334032,109.97,59.92,59.92
56,1335032,110.0,59.92,59.92
56,1336032,110.0,59.92,59.93
56,1337033,110.0,59.92,59.93
56,1338032,110.0,59.92,59.93
56,1339032,110.0,59.93,59.93
56,1340032,110.0,59.93,59.93
56,1341032,110.0,59.93,59.93
56,1342033,110.0,59.93,59.94
56,1343032,110.0,59.93,59.94
56,1344032,110.0,59.94,59.94
56,1345032,110.0,59.93,59.94
56,1346033,110.0,59.94,59.94
56,1347033,109.98,59.94,59.94
56,1348032,110.0,59.94,59.94
56,1349032,110.0,59.95,59.95
56,1350032,110.0,59.94,59.95
56,1351032,110.0,59.94,59.95
56,1352032,109.99,59.95,59.95
56,1353032,110.0,59.95,59.95
56,1354032,110.0,59.96,59.96
56,1355032,109.99,64.45,64.37
56,1356032,109.99,69.89,69.83
56,1357032,109.99,75.53,75.54
56,1358032,109.99,81.11,81.08
56,1359032,109.99,86.75,86.66
56,1360032,109.99,92.3,92.29
56,1361032,109.99,94.84,95.08
56,1362032,109.99,94.76,94.7
56,1363032,109.99,94.82,94.86
56,1364032,109.99,94.86,94.88
56,1365032,109.99,94.89,94.9
56,1366033,110.0,94.91,94.92
56,1367032,110.0,94.93,94.94
56,1368032,110.0,94.94,94.95
56,1369032,109.99,94.95,94.96
56,1370033,110.0,94.96,94.97
56,1371036,110.0,94.96,94.97
56,1372032,110.0,94.97,94.98
56,1373032,110.0,94.98,94.99
56,1374032,110.0,94.99,94.99
56,1375032,110.0,94.99,94.99
56,1376032,109.91,94.76,94.82
56,1377032,110.0,90.06,90.3
56,1378032,110.0,84.8,84.99
56,1379033,110.0,79.51,79.61
56,1380032,110.0,74.16,74.24
56,1381032,110.0,68.79,68.86
56,1382032,109.99,63.43,63.56
56,1383032,109.99,60.66,60.65
56,1384032,110.0,60.01,60.03
56,1385032,110.05,59.94,59.94
56,1386032,110.01,59.9,59.91
56,1387032,110.0,59.89,59.91
56,1388032,110.01,59.88,59.9
56,1389033,109.94,59.87,59.89
56,1390032,110.01,59.87,59.88
56,1391032,110.01,59.86,59.87
56,1392032,110.0,59.86,59.88
56,1393032,110.0,59.85,59.87
56,1394032,110.0,59.86,59.87
56,1395032,110.0,59.86,59.87
56,1396032,110.0,59.86,59.87
56,1397032,110.0,59.85,59.87
56,1398032,110.0,59.86,59.87
56,1399032,110.01,59.86,59.87
56,1400032,110.01,59.86,59.88
56,1401032,110.01,59.87,59.87
56,1402032,110.0,59.86,59.88
56,1403033,110.01,59.87,59.88
56,1404032,110.0,59.87,59.88
56,1405033,110.0,59.87,59.88
56,1406032,110.0,59.87,59.89
56,1407032,110.0,59.87,59.89
56,1408032,110.19,59.88,59.89
56,1409032,110.0,59.88,59.89
56,1410032,110.0,59.88,59.89
56,1411032,110.0,59.89,59.9
56,1412032,110.01,59.89,59.9
56,1413032,110.01,59.89,59.91
56,1414032,110.0,59.9,59.91
56,1415032,110.0,59.89,59.9
56,1416032,110.0,59.9,59.91
56,1417032,110.0,59.9,59.91
56,1418032,110.0,59.9,59.91
56,1419032,110.0,59.91,59.91
56,1420032,110.0,59.92,59.91
56,1421032,110.0,59.91,59.92
56,1422032,110.0,59.92,59.92
56,1423032,109.97,59.91,59.92
56,1424033,110.0,59.92,59.93
56,1425032,110.0,59.92,59.93
56,1426032,110.0,59.92,59.93
56,1427032,110.0,59.93,59.93
56,1428032,110.0,59.92,59.93
56,1429032,110.0,59.93,59.93
56,1430032,110.0,59.92,59.93
56,1431032,110.0,59.94,59.93
56,1432032,110.0,59.93,59.94
56,1433033,110.0,59.93,59.94
56,1434032,110.0,59.93,59.94
56,1435032,110.0,59.94,59.94
56,1436032,110.0,59.93,59.94
56,1437032,110.0,59.94,59.94
56,1438032,110.0,59.94,59.94
56,1439032,110.0,59.95,59.94
56,1440032,110.0,59.94,59.95
56,1441032,110.0,59.95,59.95
56,1442033,110.0,59.94,59.95
56,1443032,110.0,59.94,59.95
56,1444032,110.0,61.73,61.47
56,1445032,109.91,67.49,67.56
56,1446032,109.99,73.02,72.96
56,1447032,109.99,78.64,78.64
56,1448035,109.99,84.21,84.19
56,1449032,109.99,89.82,89.75
56,1450032,109.99,94.67,94.8
56,1451032,109.99,94.65,94.6
56,1452032,110.0,94.82,94.89
56,1453033,110.0,94.85,94.84
56,1454034,110.0,94.88,94.9
56,1455032,110.0,94.9,94.91
56,1456032,110.0,94.92,94.93
56,1457032,110.0,94.93,94.95
56,1458032,110.0,94.94,94.96
56,1459032,110.0,94.96,94.96
56,1460032,110.0,94.96,94.97
56,1461032,110.01,94.97,94.98
56,1462033,110.0,94.98,94.99
56,1463032,110.0,94.99,94.99
56,1464032,110.0,94.99,95.0
56,1465032,110.0,94.99,95.0
56,1466032,110.0,92.46,92.75
56,1467032,110.0,87.18,87.39
56,1468032,110.0,81.97,82.07
56,1469032,110.0,76.66,76.74
56,1470032,110.0,71.24,71.32
56,1471032,110.0,65.88,65.97
56,1472032,109.99,61.47,61.49
56,1473032,110.0,60.2,60.2
56,1474032,110.01,59.94,59.95
56,1475032,110.01,59.91,59.92
56,1476032,110.01,59.9,59.91
56,1477032,110.02,59.88,59.9
56,1478032,110.01,59.87,59.88
56,1479032,110.01,59.86,59.88
56,1480032,110.02,59.87,59.88
56,1481032,110.01,59.86,59.87
56,1482032,110.01,59.86,59.87
56,1483032,110.01,59.86,59.87
56,1484032,110.01,59.85,59.87
56,1485032,110.0,59.85,59.87
56,1486032,110.0,59.85,59.87
56,1487032,110.01,59.86,59.87
56,1488032,110.01,59.86,59.87
56,1489032,110.01,59.86,59.88
56,1490033,110.0,59.86,59.88
